filename,format,generation,serial_hex,valid
Kingston KF3733C19D4-16GX (3).thp,TH40,?,,no
Kingston KF432C16BBK2-16.thp,TH40,?,,no
Kingston KHX2400C12D4-8GX (2).thp,TH40,?,,no
Kingston KHX2666C16-8G (1).thp,TH43,?,,no
Kingston KHX2666C16-8G.thp,TH43,?,,no
Kingston KHX3000C15D4-8GX (3).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (4).thp,TH40,?,,no
Kingston KHX3600C17D4-8GX.thp,TH43,?,,no
Kingston KHX4133C19D4-8GX.thp,TH40,?,,no
Mushkin Enhanced MFG 991599 (996599).thp,TH20,?,,no
Patriot Memory 2666 C16 Series.thp,TH40,?,,no
Patriot Memory 3000 C16 Series (1).thp,TH43,?,,no
Patriot Memory 3200 C16 Series (3).thp,TH40,?,,no
Patriot Memory 3200 C16 Series (4).thp,TH40,?,,no
Patriot Memory 3600 C18 Series (1).thp,TH40,?,,no
Patriot Memory 3600 C18 Series (4).thp,TH40,?,,no
Patriot Memory 3600 C18 Series.thp,TH40,?,,no
Patriot Memory 4400 C19 Series (1).thp,TH43,?,,no
Patriot Memory 4400 C19 Series (3).thp,TH40,?,,no
Qimonda 64T64020EDL3SB2.thp,TH20,?,,no
Ramaxel RML1320MH48D8F-800.thp,TH20,?,,no
A-DATA DDR4 3200.thp,TH40,?,,no
Asgard VMA44UI-MIC1U22T2.thp,TH40,?,,no
Asgard VMA45UG-MIC1U22T2.thp,TH40,?,,no
Chun Well Holding Ltd. MD4U0832140BCW.thp,TH40,?,,no
Crucial BL16G36C16U4B.M16FE1.thp,TH40,?,,no
Crucial BL8G32C16U4B.M8FE1.thp,TH40,?,,no
Crucial BL8G32C16U4W.M8FE.thp,TH40,?,,no
Crucial BL8G32C16U4W.M8FE1.thp,TH40,?,,no
Cuso YX4U2666D19161C.thp,TH40,?,,no
Fujitsu -360 C16- 6GTZNC.thp,TH20,?,,no
Fujitsu F4-3200C16-16GTZR.thp,TH20,?,,no
G.Skill F4-2666C15-8GVR.thp,TH40,?,,no
G.Skill F4-3200C16-8GVKB.thp,TH40,?,,no
GeIL CL16-18-18 D4-3200.thp,TH40,?,,no
Gloway International STK4U2666D19161C.thp,TH40,?,,no
Hynix HMA82GU6CJR8N-VK.thp,TH40,?,,no
I.T.T R022D408GX2-4000C1.thp,TH20,?,,no
Kingston KHX2666C13-8GX.thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (2).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX.thp,TH40,?,,no
Kingston KHX3200C18D4-8G (2).thp,TH40,?,,no
Kllisre Undefined.thp,TH40,?,,no
Mushkin Enhanced MFG 991599 (996599).thp,TH20,?,,no
Patriot Memory PSD48G266682.thp,TH40,?,,no
Ramaxel RMSA3270ME86H9F-2666.thp,TH40,?,,no
Samsung M378A2K43CB1-CTD (1).thp,TH40,?,,no
Samsung M471A1K43CB1-CTD.thp,TH40,?,,no
Silicon Power SP008GXLZU320BSA.thp,TH40,?,,no
Synertek 6.thp,TH20,?,,no
Team Group TEAMGROUP-UD4-3200.thp,TH40,?,,no
Corsair CM4X8GD3000C16K4D.thp,TH40,?,,no
Corsair CMK32GX4M2B3200C16 (1).thp,TH40,?,,no
Corsair CMK32GX4M2Z3200C16.thp,TH40,?,,no
Crucial BLS8G4D30AESBK.M8FE.thp,TH40,?,,no
Crucial CT16G4DFD8213.C16FDD.thp,TH40,?,,no
Crucial CT8G4DFS8266.M8FD.thp,TH40,?,,no
G.Skill F4-3600C16-8GTZN.thp,TH40,?,,no
G.Skill F4-4000C16-16GVK.thp,TH40,?,,no
G.Skill F4-4000C18-8GTZR.thp,TH40,?,,no
Galaxy Microsystems Undefined.thp,TH40,?,,no
Patriot Memory 4000 C19 Series (1).thp,TH40,?,,no
A-DATA DDR4 3600.thp,TH40,?,,no
AMD R748G2133U2S.thp,TH40,?,,no
Corsair CMK16GX4M2D3000C16.thp,TH40,?,,no
Crucial BL16G30C15U4B.M16FE1.thp,TH40,?,,no
Crucial BL16G30C15U4RL.M16FE.thp,TH40,?,,no
Crucial BL8G36C16U4W.M8FE1 (2).thp,TH40,?,,no
Crucial BLS8G4D240FSB.16FBD2.thp,TH40,?,,no
Crucial BLS8G4D240FSBK.8FD.thp,TH40,?,,no
Crucial CT4G4DFS8266.C8FDD2.thp,TH40,?,,no
Crucial CT8G4DFS8266.C8FD1.thp,TH40,?,,no
Crucial CT8G4DFS8266.M8FD.thp,TH40,?,,no
G.Skill F4-2400C15-8GTZR.thp,TH40,?,,no
G.Skill F4-2666C15-8GVS.thp,TH40,?,,no
G.Skill F4-3200C16-16GTZSW.thp,TH40,?,,no
G.Skill F4-3200C16-8GRKB.thp,TH40,?,,no
G.Skill F4-3600C14-16GTZR.thp,TH40,?,,no
Hewlett-Packard 7EH64AA#ABB.thp,TH40,?,,no
Kingston KHX2133C14D4-4G.thp,TH40,?,,no
Kingston KHX2666C13-8GX.thp,TH40,?,,no
Kingston KHX2666C15D4-8G.thp,TH40,?,,no
Kingston KHX2666C16-8G.thp,TH40,?,,no
Kingston KHX2666C16D4-4G.thp,TH40,?,,no
Kingston KHX3000C15D4-4GX.thp,TH40,?,,no
Kingston KHX3200C16D4-8GX.thp,TH40,?,,no
Kingston KHX3466C16D4-8GX.thp,TH40,?,,no
Kingston KHX3600C17D4-16GX.thp,TH40,?,,no
Kingston YZT.thp,TH20,?,,no
Kllisre Undefined.thp,TH40,?,,no
Patriot Memory 21 3 C14 Series.thp,TH40,?,,no
Patriot Memory 2133 C14 Series.thp,TH40,?,,no
Patriot Memory 3000 C16 Series.thp,TH40,?,,no
Patriot Memory 3200 C16 Series (1).thp,TH40,?,,no
Patriot Memory 3200 C16 Series.thp,TH40,?,,no
Patriot Memory PSD48G266681.thp,TH40,?,,no
Samsung M378A1K43EB2-CVF (1).thp,TH40,?,,no
Samsung M378A1K43EB2-CVF.thp,TH40,?,,no
Undefined CT8G4DFD8213.C16FBR2.thp,TH40,?,,no
Unknown (JEDEC ID 00FFh) #.thp,TH20,?,,no
Unknown (JEDEC ID 00FFh) Undefined (1).thp,TH20,?,,no
Wilk Elektronik GR2133D464L15-16G.thp,TH40,?,,no
Wilk Elektronik GR2666D464L19S-8G.thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G.thp,TH40,?,,no
Wilk Elektronik IRX3000D464L17S-8G.thp,TH40,?,,no
A-DATA DDR4 2666.thp,TH40,?,,no
A-DATA DDR4 3000 (1).thp,TH40,?,,no
A-DATA DDR4 3200 (1).thp,TH40,?,,no
A-DATA DDR4 3200 (2).thp,TH40,?,,no
A-DATA DDR4 3200 (3).thp,TH40,?,,no
A-DATA DDR4 3200 (5).thp,TH40,?,,no
A-DATA DDR4 3200 (8).thp,TH40,?,,no
A-DATA DDR4 3200.thp,TH40,?,,no
A-DATA SCOKD1B163BZ.thp,TH20,?,,no
A-DATA Undefined.thp,TH20,?,,no
AMD R748G2606U2S.thp,TH40,?,,no
Apacer 75.073AA.G00.thp,TH20,?,,no
Corsair CMK16GX4M2B3200C16 (5).thp,TH40,?,,no
Corsair CMW16GX4M2C3200C16 (5).thp,TH40,?,,no
Corsair CMW16GX4M2C3600C18.thp,TH40,?,,no
Corsair CMW32GX4M4C3600C18.thp,TH40,?,,no
Crucial BL16G30C15U4RL.M16FE.thp,TH40,?,,no
Crucial BL16G32C16U4RL.M16FE.thp,TH40,?,,no
Crucial BL16G36C16U4R.M8FB1 (2).thp,TH40,?,,no
Crucial BL8G  C16U4WL.M8FE1.thp,TH40,?,,no
Crucial BL8G24C16U4B.8FB.thp,TH40,?,,no
Crucial BL8G30C15U4B.M8FE.thp,TH40,?,,no
Crucial BL8G30C15U4W.M8FE1.thp,TH40,?,,no
Crucial BL8G32C16U4B.M8FE.thp,TH40,?,,no
Crucial BL8G32C16U4RL.M8FE.thp,TH40,?,,no
Crucial BL8G32C16U4W.M8FE1.thp,TH40,?,,no
Crucial BL8G32C16U4WL.M8FE1.thp,TH40,?,,no
Crucial BLE8G4D36BEEAK.M8FE1.thp,TH40,?,,no
Crucial BLS16G4D26BFS..16FD.thp,TH40,?,,no
Crucial BLS4G4D240FSB.8FBD.thp,TH40,?,,no
Crucial BLS8G4D240FSE.16FBD.thp,TH40,?,,no
Crucial BLS8G4D26BFSEK.8FD.thp,TH40,?,,no
Crucial BLS8G4D30AESBK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D30AESCK.M8FE.thp,TH40,?,,no
Crucial CT4G4DFS824A.M8FE.thp,TH40,?,,no
Crucial CT4G4SFS824A.C8FF.thp,TH40,?,,no
Crucial CT4G4SFS824A.C8FG.thp,TH40,?,,no
Crucial CT8G4DFRA266.C8FN.thp,TH40,?,,no
Crucial CT8G4DFS824A.C8FDD1.thp,TH40,?,,no
Crucial CT8G4DFS8266.M8FD.thp,TH40,?,,no
Crucial CT8G4DFS8266.M8FE.thp,TH40,?,,no
G.Skill F4-3000C16-8GISB.thp,TH40,?,,no
G.Skill F4-3200 16-16GTZN.thp,TH40,?,,no
G.Skill F4-3200C16-8GTZKW.thp,TH40,?,,no
GeIL CL19-19-19 D4-2666.thp,TH40,?,,no
Hynix HMA851U6AFR6N-UH.thp,TH40,?,,no
Hynix HYMP112S64CP6-S6.thp,TH20,?,,no
Hynix HYMP112U64CP8-S6.thp,TH20,?,,no
Kingston 9905702-400.A00G.thp,TH40,?,,no
Kingston HP26D4U9S8ME-8.thp,TH40,?,,no
Kingston KHX2133C14-8G.thp,TH40,?,,no
Kingston KHX2400C15-8G (2).thp,TH40,?,,no
Kingston KHX2400C15-8G (3).thp,TH40,?,,no
Kingston KHX2400C15-8G (4).thp,TH40,?,,no
Kingston KHX2400C15-8G (5).thp,TH40,?,,no
Kingston KHX2400C15-8G (6).thp,TH40,?,,no
Kingston KHX2400C15-8G.thp,TH40,?,,no
Kingston KHX2400C15D4-4G (1).thp,TH40,?,,no
Kingston KHX2666C13-8GX.thp,TH40,?,,no
Kingston KHX2666C16-16G (1).thp,TH40,?,,no
Kingston KHX2666C16D4-16GX (1).thp,TH40,?,,no
Kingston KHX2666C16D4-4G.thp,TH40,?,,no
Kingston KHX2933C15D4-8GX (1).thp,TH40,?,,no
Kingston KHX3000C15D4-8GX.thp,TH40,?,,no
Kingston KHX3200C16D4-16GX (1).thp,TH40,?,,no
Kingston KHX3200C16D4-16GX.thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (1).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (3).thp,TH40,?,,no
Kingston KHX3466C16D4-8GX.thp,TH40,?,,no
Kingston KHX3600C17D4-8GX (1).thp,TH40,?,,no
Kingston KHX3600C17D4-8GX.thp,TH40,?,,no
Kingston KHX4000C19D4-8GX.thp,TH40,?,,no
Kllisre 4ATF1G64AZ-2G6H1.thp,TH40,?,,no
Kllisre D4 8G (1).thp,TH40,?,,no
Kllisre D4 8G.thp,TH40,?,,no
Micron 8ATF1G64AZ-2G6E1.thp,TH40,?,,no
Micron 9ASF2G72AZ-3G2B1.thp,TH40,?,,no
Neo Forza NMUD480E82-3600D.thp,TH40,?,,no
Patriot Memory 3000 C16 Series.thp,TH40,?,,no
Patriot Memory 3200 C16 Series (1).thp,TH40,?,,no
Patriot Memory 3200 C16 Series (2).thp,TH40,?,,no
Patriot Memory 3200 C16 Series (3).thp,TH40,?,,no
Patriot Memory 3600 C17 Series (1).thp,TH40,?,,no
Patriot Memory 3600 C17 Series.thp,TH40,?,,no
Samsung M378A1K43CB2-CTD.thp,TH40,?,,no
Samsung M378A2K43CB1-CTD.thp,TH40,?,,no
Samsung M378A5244CB0-CRC.thp,TH40,?,,no
Undefined MESSBON-8G-2400Mhz.thp,TH40,?,,no
Unknown (JEDEC ID 0080h) atermiter.thp,TH40,?,,no
Wilk Elektronik IR2400D464L15S-8G.thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G (1).thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G (2).thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G (3).thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G.thp,TH40,?,,no
A-DATA DDR4 3000.thp,TH40,?,,no
A-DATA DDR4 3200 (1).thp,TH40,?,,no
A-DATA DDR4 3200 (2).thp,TH40,?,,no
A-DATA DDR4 3200.thp,TH40,?,,no
AMD R744G2606U1S.thp,TH40,?,,no
AMD R7S48G2606U1K.thp,TH40,?,,no
