filename,format,generation,serial_hex,valid
Crucial BLE8G4D36BEEAK.M8FE1.thp,TH40,?,,no
Crucial BLS16G4D26BFS..16FD.thp,TH40,?,,no
Crucial BLS4G4D240FSB.8FBD.thp,TH40,?,,no
Crucial BLS8G4D240FSE.16FBD.thp,TH40,?,,no
Crucial BLS8G4D26BFSEK.8FD.thp,TH40,?,,no
Crucial BLS8G4D30AESBK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D30AESCK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D32AESCK.M8FE1.thp,TH41,DDR4,0x977B88E9,yes
Crucial CT102464BA160B.C16.thp,TH20,DDR3,0xE8AAE749,yes
Crucial CT16G4DFD832A.C16FP.thp,TH41,DDR4,0x900004DD,yes
Crucial CT4G4DFS824A.M8FE.thp,TH40,?,,no
Crucial CT4G4SFS824A.C8FF.thp,TH40,?,,no
Crucial CT4G4SFS824A.C8FG.thp,TH40,?,,no
Crucial CT8G4DFRA266.C8FN.thp,TH40,?,,no
Crucial CT8G4DFS824A.C8FDD1.thp,TH40,?,,no
Crucial CT8G4DFS8266.M8FD.thp,TH40,?,,no
Crucial CT8G4DFS8266.M8FE.thp,TH40,?,,no
Elpida EBJ21UE8BDF0-DJ-F.thp,TH20,DDR3,0x8C7B136C,yes
G.Skill 4-3200C16-8GTZR.thp,TH41,DDR4,0x74770A76,yes
G.Skill F3-12800CL9-4GBSR.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-16000CL9-2GBRH.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-1600C9-8GXM.thp,TH20,DDR3,0x00000000,yes
G.Skill F4-2400C17-4GIS.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3000C16-8GISB.thp,TH40,?,,no
G.Skill F4-3000C16-8GTRS.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3000C16-8GTZR.thp,TH41,DDR3,0x070096C6,yes
G.Skill F4-3200 16-16GTZN.thp,TH40,?,,no
G.Skill F4-3200C14-16GTZSW.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C16-16GSXKB.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C16-16GTRG.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3200C16-8GTZB.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C16-8GTZKW.thp,TH40,?,,no
G.Skill F4-3200C16-8GTZR.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3600C14-8GTZN.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3600C16-16GT(R.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3600C16-16GTR.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3600C16-32GVK.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3600C17-4GVK.thp,TH41,DDR4,0x74770A76,yes
