filename,format,generation,serial_hex,valid
A-DATA AX.thp,TH53,DDR5,0x00011076,yes
A-DATA AX5U5200C3816G-B.thp,TH53,DDR5,0x00328455,yes
A-DATA AX5U5200C3816G-DCLARWH.thp,TH53,DDR5,0x00011076,yes
A-DATA AX5U6000C3016G-BLABBK.thp,TH53,DDR5,0x00229965,yes
A-DATA AX5U6000C3024G-BLABRBK.thp,TH53,DDR5,0x00079795,yes
A-DATA AX5U6000C3032G-DCLARBK.thp,TH53,DDR5,0x00520700,yes
A-DATA AX5U6000C3032G-DCLARWH.thp,TH53,DDR5,0x00088486,yes
A-DATA AX5U6000C4016G-DCLABK.thp,TH53,DDR5,0x00276797,yes
A-DATA AX5U6400C3232G-BLARBK.thp,TH53,DDR5,0x00243981,yes
"BIWIN Storage Co.,Ltd BL.9BWWR.366.thp",TH53,DDR5,0x0002A515,yes
Corsair CMH32GX5M2B6400C32.thp,TH53,DDR5,0x00000000,yes
Corsair CMH32GX5M2B6400C36.thp,TH53,DDR5,0x00000000,yes
Corsair CMH32GX5M2D6000C36.thp,TH53,DDR5,0x00000000,yes
Corsair CMH32GX5M2E6000C36.thp,TH53,DDR5,0x00000000,yes
Corsair CMH32GX5M2X7200C34.thp,TH53,DDR5,0x00000000,yes
Corsair CMH64GX5M2B6000Z30.thp,TH53,DDR5,0x00000000,yes
Corsair CMK32GX5M2B5600C36.thp,TH53,DDR5,0x00000000,yes
Corsair CMK32GX5M2B6600C38.thp,TH53,DDR5,0x00000000,yes
Corsair CMK32GX5M2D6000Z36.thp,TH53,DDR5,0x00000000,yes
Corsair CMK64GX5M2B5600C40.thp,TH53,DDR5,0x00000000,yes
Corsair CMK64GX5M2B6400C32.thp,TH53,DDR5,0x00000000,yes
Corsair CMK64GX5M2B6600C32.thp,TH53,DDR5,0x00000000,yes
Corsair CMT32GX5M2X7200C34.thp,TH53,DDR5,0x00000000,yes
Corsair CMT32GX5M2X7600C36.thp,TH53,DDR5,0x00000000,yes
Crucial CP16G60C36U5B.M8D1.thp,TH53,DDR5,0xE85D8E31,yes
Crucial CP24G60C48U5.M8BR (1).thp,TH53,DDR5,0xE825562F,yes
Crucial CP24G60C48U5.M8BR.thp,TH53,DDR5,0xE9053235,yes
Crucial CT16G48C40U5.C8A1.thp,TH53,DDR5,0xE9099B06,yes
Crucial CT16G52C42U5.M8G1.thp,TH53,DDR5,0xE75D9BCA,yes
Crucial CT16G56C46S5.M8D1.thp,TH53,DDR5,0xE90A6701,yes
Crucial CT48G56C46S5.M16B1.thp,TH53,DDR5,0xE8E12515,yes
Crucial CT8G48C40S5.M4A1.thp,TH53,DDR5,0xE8E0796B,yes
Essencore KD5AGUA80-60A300H.thp,TH53,DDR5,0xBB06395C,yes
Essencore KD5AGUA80-68A340H (2).thp,TH53,DDR5,0xC45914D9,yes
Essencore KD5AGUA80-68A340H.thp,TH53,DDR5,0xE35914D7,yes
Essencore KD5AGUA80-72B340G.thp,TH53,DDR5,0xDA261416,yes
Essencore KD5AGUA80-76B360G.thp,TH53,DDR5,0xD95C2706,yes
Essencore KD5AGUA80-80D380G.thp,TH53,DDR5,0x78041C32,yes
G.Skill F5-5200J3636C16G.thp,TH53,DDR5,0xE85F50F8,yes
G.Skill F5-6000J3038F16G (1).thp,TH53,DDR5,0xFB5C7EF8,yes
G.Skill F5-6000J3038F16G (2).thp,TH53,DDR5,0x475DCCFA,yes
G.Skill F5-6000J3038F16G.thp,TH53,DDR5,0x00000000,yes
G.Skill F5-6000J3040F16G (1).thp,TH53,DDR5,0x205EEFF2,yes
G.Skill F5-6000J3040F16G.thp,TH53,DDR5,0x055D5FF0,yes
G.Skill F5-6000J3040G32G.thp,TH53,DDR5,0xFE5BEDF5,yes
G.Skill F5-6000J3238F16G.thp,TH53,DDR5,0xFD539AF6,yes
G.Skill F5-6000J3238G32G.thp,TH53,DDR5,0x685AFAFE,yes
G.Skill F5-6000J3636F16G (1).thp,TH53,DDR5,0x44534BFB,yes
G.Skill F5-6000J3636F16G (2).thp,TH53,DDR5,0xCA5A7BFB,yes
G.Skill F5-6400J3239G16G (2).thp,TH53,DDR5,0x2E586DFB,yes
G.Skill F5-6400J3239G16G (3).thp,TH53,DDR5,0x915A7DF1,yes
G.Skill F5-6400J3239G16G (4).thp,TH53,DDR5,0xE95DC5F0,yes
G.Skill F5-6400J3239G16G (5).thp,TH53,DDR5,0x00000000,yes
G.Skill F5-6400J3239G16G.thp,TH53,DDR5,0x9B512BF0,yes
G.Skill F5-6400J3239G32G (1).thp,TH53,DDR5,0xE15B47F3,yes
G.Skill F5-6400J3239G32G.thp,TH53,DDR5,0xDA5B02FE,yes
G.Skill F5-7200J3445G16G (1).thp,TH53,DDR5,0x0A5C29F0,yes
G.Skill F5-7200J3445G16G (2).thp,TH53,DDR5,0xD757A9F7,yes
G.Skill F5-7200J3445G16G.thp,TH53,DDR5,0x6A539DF2,yes
G.Skill F5-8000J3848H16G.thp,TH53,DDR5,0xFA510EFA,yes
Gloway International Co Ltd VGM5UH64C32AG-DTACW.thp,TH53,DDR5,0x1000018E,yes
Hynix HMCG78AGBSA092N.thp,TH53,DDR5,0x9759F7C7,yes
Hynix HMCG88AEBUA081N.thp,TH53,DDR5,0x55393FB0,yes
Hynix HMCG88AEBUA092N.thp,TH53,DDR5,0x47725BD6,yes
Jazer JAE6000U4008.thp,TH53,DDR5,0x965E46B9,yes
Kingbank Undefined (13).thp,TH53,DDR5,0x12251226,yes
Kingbank Undefined (15).thp,TH53,DDR5,0x06268C53,yes
Kingbank Undefined (3).thp,TH53,DDR5,0x04190419,yes
Kingston 9905782-104.A01G.thp,TH53,DDR5,0x380CA8AF,yes
Kingston KF552C36-16.thp,TH53,DDR5,0x5D2B6A27,yes
Kingston KF556C40-8.thp,TH53,DDR5,0xD50C08E4,yes
Kingston KF560C36-16 (1).thp,TH53,DDR5,0xD406839A,yes
Kingston KF560C36-16.thp,TH53,DDR5,0x42055EA0,yes
Kingston KF560C40-16.thp,TH53,DDR5,0x2A0EA943,yes
Kingston KF560C40-32.thp,TH53,DDR5,0xB22F4763,yes
Kingston KF568C36-16.thp,TH53,DDR5,0x3E12A15B,yes
Mushkin Enhanced MFG MRX5U600DDDM16G.thp,TH53,DDR5,0x00000000,yes
Mushkin Enhanced MFG MRX5U640A77P32G.thp,TH53,DDR5,0x00000000,yes
Patriot Memory 5600 C40 Series.thp,TH53,DDR5,0x01091856,yes
Patriot Memory 6000 C42 Series.thp,TH53,DDR5,0x06260130,yes
Patriot Memory 7000 C32 Series.thp,TH53,DDR5,0x122802B6,yes
Patriot Memory 7200 C34 Series (1).thp,TH53,DDR5,0x08290007,yes
Patriot Memory 7200 C34 Series.thp,TH53,DDR5,0x07270629,yes
Samsung M425R2GA3BB0-CWMOD.thp,TH53,DDR5,0x4585D310,yes
Shenzhen Longsys Electronics Co. Ltd. LD5EU016G-6400LA.thp,TH53,DDR5,0x605608B7,yes
Shenzhen Mic Electronics KF564C32-16.thp,TH53,DDR5,0x643EA7B8,yes
Team Group UD5-5600 (1).thp,TH53,DDR5,0x0104040E,yes
Team Group UD5-5600.thp,TH53,DDR5,0x01049548,yes
Team Group UD5-6000.thp,TH53,DDR5,0x01049867,yes
Team Group UD5-7200 (1).thp,TH53,DDR5,0x010457CB,yes
Team Group UD5-7200.thp,TH53,DDR5,0x01045362,yes
Wilk Elektronik IR-5600D564L30-32G.thp,TH53,DDR5,0x00003CEE,yes
