filename,format,generation,serial_hex,valid
Corsair CMK16GX4M2A2400C14.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2A2400C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2A2666C16 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2B3000C15.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2B3200C16 (11).thp,TH41,DDR4,0x74770A76,yes
Corsair CMK16GX4M2B3200C16 (5).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2B3200C16 (7).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2B3200C16 (9).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2B3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2B3466C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK16GX4M2D3600C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2D3600C18 (2).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2E3200C16 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2E3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2Z2400C16 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2Z2400C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2Z3200C16 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2Z3200C16 (2).thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2Z3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK16GX4M2Z3600C14.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2A2400C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2B3000C15.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2B3200C16 (1).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2B3200C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2D3000C16.thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2D3600C16 (2).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2D3600C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK32GX4M2D3600C18 (5).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2D3600C18 (6).thp,TH43,DDR4,0x00000000,yes
Corsair CMK32GX4M2D3600C18 (7).thp,TH43,DDR4,0x00000000,yes
