filename,format,generation,serial_hex,valid
A-DATA AO1L16BC4R1-BX7S.thp,TH20,DDR3,0xDEBA0200,yes
A-DATA AX4U360016G18I-DT41.thp,TH41,DDR3,0x07009604,yes
A-DATA DDR3 2200  2OZ.thp,TH20,DDR3,0x00000000,yes
AMD R5S38G1601U2S.thp,TH20,DDR3,0x00000000,yes
Anucell Holding GRPFD120700000004.thp,TH20,DDR3,0x00000000,yes
Apacer 76.A153G.C0W0C.thp,TH20,DDR3,0x02013281,yes
Apacer 78.B1GG2.AU00C.thp,TH20,DDR3,0x12419502,yes
Apacer D12.15651H.001.thp,TH20,DDR3,0x09423094,yes
Corsair CM3X2G1600C7.thp,TH20,DDR3,0x00000000,yes
Corsair CMD16GX3M2A2400C10.thp,TH20,DDR3,0x00000000,yes
Corsair CMK16GX4M2B3200C16 (12).thp,TH41,DDR3,0x070071C6,yes
Corsair CMP8GX3M2A1600C9.thp,TH20,DDR3,0x00000000,yes
Corsair CMV4GX3M1A1333C9.thp,TH20,DDR3,0x00000000,yes
Corsair CMY16GX3M2A2133C11.thp,TH20,DDR3,0x00000000,yes
Corsair CMY16GX3M2A2400C11.thp,TH20,DDR3,0x00000000,yes
Corsair CMZ16GX3M4A2400C10.thp,TH20,DDR3,0x00000000,yes
Corsair CMZ8GX3M2A1600C9.thp,TH20,DDR3,0x00000000,yes
Crucial BLS8G3D1609DS1S00. (1).thp,TH20,DDR3,0xDECEC2EE,yes
Crucial BLS8G3D1609DS1S00..thp,TH20,DDR3,0x669300F9,yes
Crucial CT102464BA160B.C16.thp,TH20,DDR3,0x86320AB7,yes
Crucial CT51264BD160B.C16F.thp,TH20,DDR3,0x181E8019,yes
G.Skill F3-12800CL7-2GBECO.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-12800CL9-4GBZL.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-16000CL7-2GBPS.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-1600C11-8GIS.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-1600C11-8GNT.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-17600CL8-2GBPS.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-1866C11-8GRSL.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-2133C9-8GZH.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-2400C10-4GTX.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-2400C11-8GSR.thp,TH20,DDR3,0x00000000,yes
G.Skill F4 3600C16-16GTZRC.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3200C16-16GTZSW.thp,TH41,DDR3,0x07009604,yes
G.Skill F4-3200C16-8GTZSW (7).thp,TH41,DDR3,0x070096C6,yes
G.Skill F4-3600C16-16GTZNC (3).thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-4400C19-16GTZR.thp,TH41,DDR3,0x07009604,yes
GeIL CL11-11-11 D3-1600.thp,TH20,DDR3,0x00000342,yes
GeIL CL11-11-11 D3-1866.thp,TH20,DDR3,0x00000009,yes
GeIL CL9-9-9 DDR3-1333.thp,TH20,DDR3,0x00000000,yes
GeIL CL9-9-9 DDR3-1600.thp,TH20,DDR3,0x0000025F,yes
Gloway International Co Ltd WAR3S1600E11081C.thp,TH20,DDR3,0xF9517841,yes
Gloway International Co Ltd WAR3U1600C11081C.thp,TH20,DDR3,0xCD2F3154,yes
Goldenmars GMB40056UDX8211160.thp,TH20,DDR3,0x1E167812,yes
Heoriady 9905403-02X.A00LF.thp,TH20,DDR3,0x03985621,yes
Hynix HMT112U7BFR8C-H9.thp,TH20,DDR3,0x042243D0,yes
Hynix HMT351S6CFR8C-PB (1).thp,TH20,DDR3,0x0A679EF4,yes
Hynix HMT351S6CFR8C-PB (2).thp,TH20,DDR3,0x09413121,yes
Hynix HMT351S6CFR8C-PB.thp,TH20,DDR3,0x10622154,yes
Hynix HMT451S6AFR8A-PB.thp,TH20,DDR3,0x1318D7F3,yes
Hynix HMT451S6BFR8A-PB.thp,TH20,DDR3,0x127DD40C,yes
Hynix HMT451U6AFR8A-PB.thp,TH20,DDR3,0x2E621522,yes
Hynix HMT451U6BFR8A-PB.thp,TH20,DDR3,0x2D1C61AE,yes
KINGBOX EBJ41UF8BCF0-DJ-F.thp,TH20,DDR3,0x00000000,yes
KINGBOX KINGBOX-1600-DJ-F.thp,TH20,DDR3,0x00000000,yes
Kingmax FLFF65F-D8KQ9.thp,TH20,DDR3,0x00000000,yes
Kingston 9905403-181.A00LF.thp,TH20,DDR3,0x50219818,yes
Kingston 9905403-559A00LF.thp,TH20,DDR3,0xD8666747,yes
Kingston 9905471-064.A00LF.thp,TH20,DDR3,0x8F2CA3C7,yes
Kingston 9965434-017.A00LF.thp,TH20,DDR3,0xDD092E63,yes
Kingston 99P5429-006.A00LF.thp,TH20,DDR3,0xA3265F9A,yes
Kingston 99P5474-014.A00LF.thp,TH20,DDR3,0x5E2ED532,yes
Kingston 99P5474-050.A00LF.thp,TH20,DDR3,0x9714F6E7,yes
Kingston 99U5471-002.A00LF.thp,TH20,DDR3,0x5B291B43,yes
Kingston 99U5474-028.A00LF.thp,TH20,DDR3,0xEA02650D,yes
Kingston 99U5584-007.A00LF.thp,TH20,DDR3,0x1C2C4B2A,yes
Kingston HX316C10F-8 (1).thp,TH20,DDR3,0xED342E7F,yes
Kingston HX316C10F-8 (2).thp,TH20,DDR3,0xC9040CF7,yes
Kingston HX316C10F-8 (3).thp,TH20,DDR3,0x7A30A494,yes
Kingston HX316C10F-8.thp,TH20,DDR3,0x694116A0,yes
Kingston HX316S9IB-4.thp,TH20,DDR3,0x84D10600,yes
Kingston HX318C10FR-8.thp,TH20,DDR3,0x5136DAB5,yes
Kingston KHX1600C10D3-8G (1).thp,TH20,DDR3,0x1A19D94B,yes
Kingston KHX1600C10D3-8G.thp,TH20,DDR3,0x6E0DA66B,yes
Kingston KHX1600C9D3-4GX (1).thp,TH20,DDR3,0x6A37C225,yes
Kingston KHX1600C9D3-4GX.thp,TH20,DDR3,0x23157108,yes
Kingston KHX1600C9S3L-8G.thp,TH20,DDR3,0x5B1B2B39,yes
Kingston KHX1866C10D3-4G.thp,TH20,DDR3,0x7A2EF899,yes
